移动,#genre#
安徽卫视高清,http://182.245.29.132:8086/279/279.m3u8
乒羽,http://182.245.29.132:8086/380/380.m3u8
湖北卫视,http://182.245.29.132:8086/170/170.m3u8
PTV谍战,http://182.245.29.132:8086/201/201.m3u8
贡山台,http://182.245.29.132:8086/316/316.m3u8
吉林卫视,http://182.245.29.132:8086/177/177.m3u8
点播_CCTV-13标清,http://182.245.29.132:8086/428/428.m3u8
宾川一套,http://182.245.29.132:8086/482/482.m3u8
CHC家庭影院高清,http://182.245.29.132:8086/376/376.m3u8
云县台,http://182.245.29.132:8086/348/348.m3u8
云南三套,http://182.245.29.132:8086/253/253.m3u8
黑龙江卫视高清,http://182.245.29.132:8086/189/189.m3u8
世界地理,http://182.245.29.132:8086/296/296.m3u8
昆明五套,http://182.245.29.132:8086/257/257.m3u8
西藏卫视,http://182.245.29.132:8086/184/184.m3u8
CCTV-12,http://182.245.29.132:8086/147/147.m3u8
北京卫视,http://182.245.29.132:8086/161/161.m3u8
转码器测试频道-1,http://182.245.29.132:8086/433/433.m3u8
CCTV-9,http://182.245.29.132:8086/144/144.m3u8
宣威台,http://182.245.29.132:8086/486/486.m3u8
迪庆综合,http://182.245.29.132:8086/261/261.m3u8
陇川县台,http://182.245.29.132:8086/315/315.m3u8
风云足球,http://182.245.29.132:8086/216/216.m3u8
环球奇观,http://182.245.29.132:8086/222/222.m3u8
IPTV-5+高清,http://182.245.29.132:8086/343/343.m3u8
CCTV-4高清,http://182.245.29.132:8086/278/278.m3u8
个旧台,http://182.245.29.132:8086/458/458.m3u8
盈江电视台,http://182.245.29.132:8086/396/396.m3u8
湖南卫视高清,http://182.245.29.132:8086/125/125.m3u8
施甸台,http://182.245.29.132:8086/453/453.m3u8
网络棋牌,http://182.245.29.132:8086/375/375.m3u8
香格里拉台,http://182.245.29.132:8086/321/321.m3u8
中华美食,http://182.245.29.132:8086/379/379.m3u8
CHC高清电影,http://182.245.29.132:8086/381/381.m3u8
点播_CCTV-4标清,http://182.245.29.132:8086/427/427.m3u8
东方卫视,http://182.245.29.132:8086/171/171.m3u8
爱上电视剧,http://182.245.29.132:8086/353/353.m3u8
IPTV6+,http://182.245.29.132:8086/200/200.m3u8
丽江综合,http://182.245.29.132:8086/391/391.m3u8
CETV-4,http://182.245.29.132:8086/506/506.m3u8
江苏卫视,http://182.245.29.132:8086/159/159.m3u8
快乐垂钓高清,http://182.245.29.132:8086/237/237.m3u8
兵器科技,http://182.245.29.132:8086/219/219.m3u8
楚雄二套,http://182.245.29.132:8086/260/260.m3u8
天津卫视,http://182.245.29.132:8086/162/162.m3u8
弥渡台,http://182.245.29.132:8086/490/490.m3u8
重庆卫视,http://182.245.29.132:8086/172/172.m3u8
昆明六套,http://182.245.29.132:8086/258/258.m3u8
CCTV-11,http://182.245.29.132:8086/146/146.m3u8
广西卫视,http://182.245.29.132:8086/176/176.m3u8
云南少儿,http://182.245.29.132:8086/464/464.m3u8
CCTV-4,http://182.245.29.132:8086/139/139.m3u8
辽宁卫视,http://182.245.29.132:8086/121/121.m3u8
IPTV-8+,http://182.245.29.132:8086/143/143.m3u8
江西卫视,http://182.245.29.132:8086/167/167.m3u8
CCTV-1-HD-点播,http://182.245.29.132:8086/480/480.m3u8
CCTV-2-SD-点播,http://182.245.29.132:8086/479/479.m3u8
石屏台,http://182.245.29.132:8086/499/499.m3u8
广东卫视高清,http://182.245.29.132:8086/382/382.m3u8
汽摩,http://182.245.29.132:8086/227/227.m3u8
昭通一套,http://182.245.29.132:8086/334/334.m3u8
南涧台,http://182.245.29.132:8086/489/489.m3u8
剑川台,http://182.245.29.132:8086/485/485.m3u8
大理一套,http://182.245.29.132:8086/342/342.m3u8
经典电影,http://182.245.29.132:8086/196/196.m3u8
山东卫视,http://182.245.29.132:8086/163/163.m3u8
怀旧剧场,http://182.245.29.132:8086/212/212.m3u8
临沧二套,http://182.245.29.132:8086/302/302.m3u8
卡酷少儿,http://182.245.29.132:8086/187/187.m3u8
电视指南,http://182.245.29.132:8086/208/208.m3u8
